cluster	Term	value	overlap
clusterPost1	NK cells	17.986457842329948	0.08968609865470852
clusterPost2	NK cells	17.986457842329948	0.08968609865470852
clusterPost3	NK cells	20.027109805236467	0.09566517189835576
clusterPost1	T-cells CD8+	0.0	0.0
clusterPost2	T-cells CD8+	0.0	0.0
clusterPost3	T-cells CD8+	5.226037771475438	0.10240963855421686
clusterPost1	T-cells foxP3+	6.143568986238596	0.13392857142857142
clusterPost2	T-cells foxP3+	6.143568986238596	0.13392857142857142
clusterPost3	T-cells foxP3+	9.417725329711757	0.16964285714285715
clusterPost1	follicular B-cells	5.362212979090936	0.05804311774461028
clusterPost2	follicular B-cells	5.362212979090936	0.05804311774461028
clusterPost3	follicular B-cells	4.209393183976255	0.05472636815920398
clusterPost1	lymph nodes	4.937382302543717	0.13333333333333333
clusterPost2	lymph nodes	4.937382302543717	0.13333333333333333
clusterPost3	lymph nodes	0.0	0.0
clusterPost1	thymocyte SP CD4+	6.684424476330211	0.10344827586206896
clusterPost2	thymocyte SP CD4+	6.684424476330211	0.10344827586206896
clusterPost3	thymocyte SP CD4+	5.226037771475438	0.09359605911330049
